family,base,split,accuracy,balanced_accuracy,macro_f1
naive,dummy,S1_random,0.16666666666666666,0.16666666666666666,0.047619047619047616
naive,dummy,S2_grouped,0.09722222222222222,0.16666666666666666,0.029535864978902954
naive,dummy,S3_symmetry,0.26666666666666666,0.16666666666666666,0.07017543859649122
naive,dummy,phase_bias_gap,,,-0.04063957361758827
naive,logreg,S1_random,0.2784288194444444,0.2784288194444445,0.26890709295027787
naive,logreg,S2_grouped,0.1762152777777778,0.2000021462912088,0.1649117479330058
naive,logreg,S3_symmetry,0.2965625,0.2347005208333333,0.2232896168977935
naive,logreg,phase_bias_gap,,,-0.058377868964787694
naive,rf,S1_random,0.9286024305555556,0.9286024305555555,0.9282027998939136
naive,rf,S2_grouped,0.8411458333333334,0.8248123187576312,0.8194191563778807
naive,rf,S3_symmetry,0.15770833333333334,0.3642578125,0.17661856123894004
naive,rf,phase_bias_gap,,,0.6428005951389406
augmented,dummy,S1_random,0.16666666666666666,0.16666666666666666,0.047619047619047616
augmented,dummy,S2_grouped,0.09722222222222222,0.16666666666666666,0.029535864978902954
augmented,dummy,S3_symmetry,0.26666666666666666,0.16666666666666666,0.07017543859649122
augmented,dummy,phase_bias_gap,,,-0.04063957361758827
augmented,logreg,S1_random,0.15538194444444445,0.15538194444444445,0.1240577533481188
augmented,logreg,S2_grouped,0.15625,0.22088675213675213,0.09538565968320223
augmented,logreg,S3_symmetry,0.3005902777777778,0.1878689236111111,0.14574416371936802
augmented,logreg,phase_bias_gap,,,-0.05035850403616579
augmented,rf,S1_random,0.9357638888888888,0.9357638888888888,0.9355062129539761
augmented,rf,S2_grouped,0.83984375,0.8238195398351649,0.8182449213339748
augmented,rf,S3_symmetry,0.9297222222222222,0.8460503472222222,0.8449887848582338
augmented,rf,phase_bias_gap,,,-0.02674386352425906
canonical,dummy,S1_random,0.16666666666666666,0.16666666666666666,0.047619047619047616
canonical,dummy,S2_grouped,0.09722222222222222,0.16666666666666666,0.029535864978902954
canonical,dummy,S3_symmetry,0.26666666666666666,0.16666666666666666,0.07017543859649122
canonical,dummy,phase_bias_gap,,,-0.04063957361758827
canonical,logreg,S1_random,0.20985243055555555,0.20985243055555558,0.16102237240366982
canonical,logreg,S2_grouped,0.1625434027777778,0.22240894955738708,0.12935242357473975
canonical,logreg,S3_symmetry,0.29604166666666665,0.18502604166666667,0.16353627845642718
canonical,logreg,phase_bias_gap,,,-0.03418385488168743
canonical,rf,S1_random,0.9331597222222222,0.9331597222222223,0.9327742042406381
canonical,rf,S2_grouped,0.8383246527777778,0.8233487866300365,0.816838236606348
canonical,rf,S3_symmetry,0.9269444444444445,0.8456163194444445,0.844016269570159
canonical,rf,phase_bias_gap,,,-0.02717803296381094
invariant,dummy,S1_random,0.16666666666666666,0.16666666666666666,0.047619047619047616
invariant,dummy,S2_grouped,0.09722222222222222,0.16666666666666666,0.029535864978902954
invariant,dummy,S3_symmetry,0.26666666666666666,0.16666666666666666,0.07017543859649122
invariant,dummy,phase_bias_gap,,,-0.04063957361758827
invariant,logreg,S1_random,0.8851996527777778,0.8851996527777777,0.8843861967873408
invariant,logreg,S2_grouped,0.8982204861111112,0.8939903846153846,0.879130315963743
invariant,logreg,S3_symmetry,0.9295138888888889,0.8667534722222222,0.8755954021286861
invariant,logreg,phase_bias_gap,,,0.0035349138350568854
invariant,rf,S1_random,0.9607204861111112,0.9607204861111112,0.9608240132662771
invariant,rf,S2_grouped,0.8921440972222222,0.8714433569902319,0.8676095104744933
invariant,rf,S3_symmetry,0.9379166666666666,0.8841145833333334,0.8876963948306543
invariant,rf,phase_bias_gap,,,-0.020086884356161017
